
--- Run started 2026-02-08 17:56:26 ---

======================================================================
CREATING NEW MODEL
======================================================================

Starting fresh with epsilon: 1.0000
======================================================================

Starting DQN training for 500000 episodes...
Episode 275000/500000, Total Reward: 28360, Epsilon: 0.0100, Buffer: 100000
Episode 276000/500000, Total Reward: 30902, Epsilon: 0.0100, Buffer: 100000
Episode 277000/500000, Total Reward: 30408, Epsilon: 0.0100, Buffer: 100000
Episode 278000/500000, Total Reward: 31771, Epsilon: 0.0100, Buffer: 100000
Episode 279000/500000, Total Reward: 36835, Epsilon: 0.0100, Buffer: 100000
Episode 280000/500000, Total Reward: 23566, Epsilon: 0.0100, Buffer: 100000
Episode 281000/500000, Total Reward: 40129, Epsilon: 0.0100, Buffer: 100000
Episode 282000/500000, Total Reward: 21573, Epsilon: 0.0100, Buffer: 100000
Episode 283000/500000, Total Reward: 32356, Epsilon: 0.0100, Buffer: 100000
Episode 284000/500000, Total Reward: 32238, Epsilon: 0.0100, Buffer: 100000
Episode 285000/500000, Total Reward: 29982, Epsilon: 0.0100, Buffer: 100000
Episode 286000/500000, Total Reward: 27416, Epsilon: 0.0100, Buffer: 100000
Episode 287000/500000, Total Reward: 35503, Epsilon: 0.0100, Buffer: 100000
Episode 288000/500000, Total Reward: 27106, Epsilon: 0.0100, Buffer: 100000
Episode 289000/500000, Total Reward: 23670, Epsilon: 0.0100, Buffer: 100000
Episode 290000/500000, Total Reward: 40546, Epsilon: 0.0100, Buffer: 100000
Episode 291000/500000, Total Reward: 31558, Epsilon: 0.0100, Buffer: 100000
Episode 292000/500000, Total Reward: 36674, Epsilon: 0.0100, Buffer: 100000
Episode 293000/500000, Total Reward: 31381, Epsilon: 0.0100, Buffer: 100000
Episode 294000/500000, Total Reward: 32457, Epsilon: 0.0100, Buffer: 100000
Episode 295000/500000, Total Reward: 30932, Epsilon: 0.0100, Buffer: 100000
Episode 296000/500000, Total Reward: 31892, Epsilon: 0.0100, Buffer: 100000
Episode 297000/500000, Total Reward: 34907, Epsilon: 0.0100, Buffer: 100000
Episode 298000/500000, Total Reward: 39806, Epsilon: 0.0100, Buffer: 100000
Episode 299000/500000, Total Reward: 28945, Epsilon: 0.0100, Buffer: 100000
Episode 300000/500000, Total Reward: 25304, Epsilon: 0.0100, Buffer: 100000
Episode 301000/500000, Total Reward: 34706, Epsilon: 0.0100, Buffer: 100000
Episode 302000/500000, Total Reward: 36266, Epsilon: 0.0100, Buffer: 100000
Episode 303000/500000, Total Reward: 32698, Epsilon: 0.0100, Buffer: 100000
Episode 304000/500000, Total Reward: 32584, Epsilon: 0.0100, Buffer: 100000
Episode 305000/500000, Total Reward: 26463, Epsilon: 0.0100, Buffer: 100000
Episode 306000/500000, Total Reward: 35888, Epsilon: 0.0100, Buffer: 100000
Episode 307000/500000, Total Reward: 32393, Epsilon: 0.0100, Buffer: 100000
Episode 308000/500000, Total Reward: 32341, Epsilon: 0.0100, Buffer: 100000
Episode 309000/500000, Total Reward: 30804, Epsilon: 0.0100, Buffer: 100000
Episode 310000/500000, Total Reward: 29778, Epsilon: 0.0100, Buffer: 100000
Episode 311000/500000, Total Reward: 37581, Epsilon: 0.0100, Buffer: 100000
Episode 312000/500000, Total Reward: 31006, Epsilon: 0.0100, Buffer: 100000
Episode 313000/500000, Total Reward: 36382, Epsilon: 0.0100, Buffer: 100000
Episode 314000/500000, Total Reward: 41757, Epsilon: 0.0100, Buffer: 100000
Episode 315000/500000, Total Reward: 36620, Epsilon: 0.0100, Buffer: 100000
Episode 316000/500000, Total Reward: 34151, Epsilon: 0.0100, Buffer: 100000
Episode 317000/500000, Total Reward: 32458, Epsilon: 0.0100, Buffer: 100000
