scenario,metric,parity,mean,std_across_seeds,se_across_seeds
2025,replacement_fraction,2,0.206493209067168,,0.005390648969462263
2025,parity_fraction,3,0.15665555555555555,,0.0013270255888942935
2025,replacement_fraction,3,0.16641787969334798,,0.004475565640639512
2025,parity_fraction,4,0.10096333333333334,,0.0013600671733592364
2025,replacement_fraction,4,0.11160270909202467,,0.002917985322009235
2025,parity_fraction,5,0.06357333333333334,,0.0010045197243176505
2025,replacement_fraction,5,0.07829468754413436,,0.0024899697318789674
2025,parity_fraction,6,0.03806333333333334,,0.0007976017292599845
2025,replacement_fraction,6,0.05874634064351614,,0.001361361955421276
2025,parity_fraction,7,0.02175222222222222,,0.0006795073560408162
2025,replacement_fraction,7,0.04376760168338689,,0.0018354438580947955
2025,parity_fraction,8,0.011437777777777778,,0.00062309314049217
2025,replacement_fraction,8,0.03322343372115961,,0.0009095225005726834
2025,parity_fraction,9,0.005662222222222222,,0.0005602837684910815
2025,replacement_fraction,9,0.025898160115881457,,0.0007453667710923838
2025,parity_fraction,10,0.0028966666666666663,,0.00028991590947704344
2025,replacement_fraction,10,0.019236838772245093,,0.0006005255753355036
2025,parity_fraction,11,0.0015388888888888887,,0.00010157707041733336
2025,replacement_fraction,11,0.019199273098427613,,0.0005067698432144059
2025,parity_fraction,12,0.0009744444444444444,,9.607417401976582e-05
2025,replacement_fraction,12,0.018094255335698133,,0.001262903818346673
2025,mean_parity,all,2.5780555555555558,,0.017998621089158853
2025,mean_replacement_parity,all,3.747563564826708,,0.0485280809594532
2025,replacements_per_15yr,all,5.203,,0.09764169191487834
2025,annual_culling_rate_total,all,0.34686666666666666,,0.006509446127658549
2025,annual_culling_rate_voluntary,all,0.31388,,0.0071511739517990235
2025,annual_culling_rate_death,all,0.03218666666666667,,0.0006855330448312143
2025,annual_culling_rate_involuntary,all,0.0008,,0.00023851391759997757
2025,avg_cow_lifespan_months,all,34.59542571593311,,
2025,parity_annual_rate_total,0,0.0,,0.0
2025,parity_annual_rate_voluntary,0,0.0,,0.0
2025,parity_annual_rate_death,0,0.0,,0.0
2025,parity_annual_rate_involuntary,0,0.0,,0.0
2025,parity_annual_rate_total,1,0.23071370825428433,,0.011553795067399973
2025,parity_annual_rate_voluntary,1,0.20953873146760324,,0.012392197322491312
2025,parity_annual_rate_death,1,0.02068325425406939,,0.001001076943187612
2025,parity_annual_rate_involuntary,1,0.0004917225326116914,,0.00030294695439547
2025,parity_annual_rate_total,2,0.3014400649558864,,0.012803901541427534
2025,parity_annual_rate_voluntary,2,0.2737595293662468,,0.01245575292353372
2025,parity_annual_rate_death,2,0.02762458762125019,,0.0012293300997156518
2025,parity_annual_rate_involuntary,2,5.5947968389397864e-05,,5.594796838939786e-05
2025,parity_annual_rate_total,3,0.3680853702533862,,0.007824720802090197
2025,parity_annual_rate_voluntary,3,0.32917315830900107,,0.007322275168485012
2025,parity_annual_rate_death,3,0.03891221194438519,,0.0012636866319204493
2025,parity_annual_rate_involuntary,3,0.0,,0.0
2025,parity_annual_rate_total,4,0.38311961618146917,,0.008042424746084765
